Absolute path,Relative path,Class name
C:\Users\nikku\Desktop\3labpy\dataset2\rose_0000.jpg,dataset2\rose_0000.jpg,rose
C:\Users\nikku\Desktop\3labpy\dataset2\rose_0001.jpg,dataset2\rose_0001.jpg,rose
C:\Users\nikku\Desktop\3labpy\dataset2\rose_0002.jpg,dataset2\rose_0002.jpg,rose
C:\Users\nikku\Desktop\3labpy\dataset2\rose_0003.jpg,dataset2\rose_0003.jpg,rose
C:\Users\nikku\Desktop\3labpy\dataset2\rose_0004.jpg,dataset2\rose_0004.jpg,rose
C:\Users\nikku\Desktop\3labpy\dataset2\rose_0005.jpg,dataset2\rose_0005.jpg,rose
C:\Users\nikku\Desktop\3labpy\dataset2\rose_0006.jpg,dataset2\rose_0006.jpg,rose
C:\Users\nikku\Desktop\3labpy\dataset2\rose_0007.jpg,dataset2\rose_0007.jpg,rose
C:\Users\nikku\Desktop\3labpy\dataset2\rose_0008.jpg,dataset2\rose_0008.jpg,rose
C:\Users\nikku\Desktop\3labpy\dataset2\rose_0009.jpg,dataset2\rose_0009.jpg,rose
C:\Users\nikku\Desktop\3labpy\dataset2\rose_0010.jpg,dataset2\rose_0010.jpg,rose
C:\Users\nikku\Desktop\3labpy\dataset2\rose_0011.jpg,dataset2\rose_0011.jpg,rose
C:\Users\nikku\Desktop\3labpy\dataset2\rose_0012.jpg,dataset2\rose_0012.jpg,rose
C:\Users\nikku\Desktop\3labpy\dataset2\rose_0013.jpg,dataset2\rose_0013.jpg,rose
C:\Users\nikku\Desktop\3labpy\dataset2\rose_0014.jpg,dataset2\rose_0014.jpg,rose
C:\Users\nikku\Desktop\3labpy\dataset2\rose_0015.jpg,dataset2\rose_0015.jpg,rose
C:\Users\nikku\Desktop\3labpy\dataset2\rose_0016.jpg,dataset2\rose_0016.jpg,rose
C:\Users\nikku\Desktop\3labpy\dataset2\rose_0017.jpg,dataset2\rose_0017.jpg,rose
C:\Users\nikku\Desktop\3labpy\dataset2\rose_0018.jpg,dataset2\rose_0018.jpg,rose
C:\Users\nikku\Desktop\3labpy\dataset2\rose_0019.jpg,dataset2\rose_0019.jpg,rose
C:\Users\nikku\Desktop\3labpy\dataset2\rose_0020.jpg,dataset2\rose_0020.jpg,rose
C:\Users\nikku\Desktop\3labpy\dataset2\rose_0021.jpg,dataset2\rose_0021.jpg,rose
C:\Users\nikku\Desktop\3labpy\dataset2\rose_0022.jpg,dataset2\rose_0022.jpg,rose
C:\Users\nikku\Desktop\3labpy\dataset2\rose_0023.jpg,dataset2\rose_0023.jpg,rose
C:\Users\nikku\Desktop\3labpy\dataset2\rose_0024.jpg,dataset2\rose_0024.jpg,rose
C:\Users\nikku\Desktop\3labpy\dataset2\rose_0025.jpg,dataset2\rose_0025.jpg,rose
C:\Users\nikku\Desktop\3labpy\dataset2\rose_0026.jpg,dataset2\rose_0026.jpg,rose
C:\Users\nikku\Desktop\3labpy\dataset2\rose_0027.jpg,dataset2\rose_0027.jpg,rose
C:\Users\nikku\Desktop\3labpy\dataset2\rose_0028.jpg,dataset2\rose_0028.jpg,rose
C:\Users\nikku\Desktop\3labpy\dataset2\rose_0029.jpg,dataset2\rose_0029.jpg,rose
C:\Users\nikku\Desktop\3labpy\dataset2\rose_0030.jpg,dataset2\rose_0030.jpg,rose
C:\Users\nikku\Desktop\3labpy\dataset2\rose_0031.jpg,dataset2\rose_0031.jpg,rose
C:\Users\nikku\Desktop\3labpy\dataset2\rose_0032.jpg,dataset2\rose_0032.jpg,rose
C:\Users\nikku\Desktop\3labpy\dataset2\rose_0033.jpg,dataset2\rose_0033.jpg,rose
C:\Users\nikku\Desktop\3labpy\dataset2\rose_0034.jpg,dataset2\rose_0034.jpg,rose
C:\Users\nikku\Desktop\3labpy\dataset2\rose_0035.jpg,dataset2\rose_0035.jpg,rose
C:\Users\nikku\Desktop\3labpy\dataset2\rose_0036.jpg,dataset2\rose_0036.jpg,rose
C:\Users\nikku\Desktop\3labpy\dataset2\rose_0037.jpg,dataset2\rose_0037.jpg,rose
C:\Users\nikku\Desktop\3labpy\dataset2\rose_0038.jpg,dataset2\rose_0038.jpg,rose
C:\Users\nikku\Desktop\3labpy\dataset2\rose_0039.jpg,dataset2\rose_0039.jpg,rose
C:\Users\nikku\Desktop\3labpy\dataset2\rose_0040.jpg,dataset2\rose_0040.jpg,rose
C:\Users\nikku\Desktop\3labpy\dataset2\rose_0041.jpg,dataset2\rose_0041.jpg,rose
C:\Users\nikku\Desktop\3labpy\dataset2\rose_0042.jpg,dataset2\rose_0042.jpg,rose
C:\Users\nikku\Desktop\3labpy\dataset2\rose_0043.jpg,dataset2\rose_0043.jpg,rose
C:\Users\nikku\Desktop\3labpy\dataset2\rose_0044.jpg,dataset2\rose_0044.jpg,rose
C:\Users\nikku\Desktop\3labpy\dataset2\rose_0045.jpg,dataset2\rose_0045.jpg,rose
C:\Users\nikku\Desktop\3labpy\dataset2\rose_0046.jpg,dataset2\rose_0046.jpg,rose
C:\Users\nikku\Desktop\3labpy\dataset2\rose_0047.jpg,dataset2\rose_0047.jpg,rose
C:\Users\nikku\Desktop\3labpy\dataset2\rose_0048.jpg,dataset2\rose_0048.jpg,rose
C:\Users\nikku\Desktop\3labpy\dataset2\rose_0049.jpg,dataset2\rose_0049.jpg,rose
C:\Users\nikku\Desktop\3labpy\dataset2\rose_0050.jpg,dataset2\rose_0050.jpg,rose
C:\Users\nikku\Desktop\3labpy\dataset2\rose_0051.jpg,dataset2\rose_0051.jpg,rose
C:\Users\nikku\Desktop\3labpy\dataset2\rose_0052.jpg,dataset2\rose_0052.jpg,rose
C:\Users\nikku\Desktop\3labpy\dataset2\rose_0053.jpg,dataset2\rose_0053.jpg,rose
C:\Users\nikku\Desktop\3labpy\dataset2\rose_0054.jpg,dataset2\rose_0054.jpg,rose
C:\Users\nikku\Desktop\3labpy\dataset2\rose_0055.jpg,dataset2\rose_0055.jpg,rose
C:\Users\nikku\Desktop\3labpy\dataset2\rose_0056.jpg,dataset2\rose_0056.jpg,rose
C:\Users\nikku\Desktop\3labpy\dataset2\rose_0057.jpg,dataset2\rose_0057.jpg,rose
C:\Users\nikku\Desktop\3labpy\dataset2\rose_0058.jpg,dataset2\rose_0058.jpg,rose
C:\Users\nikku\Desktop\3labpy\dataset2\rose_0059.jpg,dataset2\rose_0059.jpg,rose
C:\Users\nikku\Desktop\3labpy\dataset2\rose_0060.jpg,dataset2\rose_0060.jpg,rose
C:\Users\nikku\Desktop\3labpy\dataset2\rose_0061.jpg,dataset2\rose_0061.jpg,rose
C:\Users\nikku\Desktop\3labpy\dataset2\rose_0062.jpg,dataset2\rose_0062.jpg,rose
C:\Users\nikku\Desktop\3labpy\dataset2\rose_0063.jpg,dataset2\rose_0063.jpg,rose
C:\Users\nikku\Desktop\3labpy\dataset2\rose_0064.jpg,dataset2\rose_0064.jpg,rose
C:\Users\nikku\Desktop\3labpy\dataset2\rose_0065.jpg,dataset2\rose_0065.jpg,rose
C:\Users\nikku\Desktop\3labpy\dataset2\rose_0066.jpg,dataset2\rose_0066.jpg,rose
C:\Users\nikku\Desktop\3labpy\dataset2\rose_0067.jpg,dataset2\rose_0067.jpg,rose
C:\Users\nikku\Desktop\3labpy\dataset2\rose_0068.jpg,dataset2\rose_0068.jpg,rose
C:\Users\nikku\Desktop\3labpy\dataset2\rose_0069.jpg,dataset2\rose_0069.jpg,rose
C:\Users\nikku\Desktop\3labpy\dataset2\rose_0070.jpg,dataset2\rose_0070.jpg,rose
C:\Users\nikku\Desktop\3labpy\dataset2\rose_0071.jpg,dataset2\rose_0071.jpg,rose
C:\Users\nikku\Desktop\3labpy\dataset2\rose_0072.jpg,dataset2\rose_0072.jpg,rose
C:\Users\nikku\Desktop\3labpy\dataset2\rose_0073.jpg,dataset2\rose_0073.jpg,rose
C:\Users\nikku\Desktop\3labpy\dataset2\rose_0074.jpg,dataset2\rose_0074.jpg,rose
C:\Users\nikku\Desktop\3labpy\dataset2\rose_0075.jpg,dataset2\rose_0075.jpg,rose
C:\Users\nikku\Desktop\3labpy\dataset2\rose_0076.jpg,dataset2\rose_0076.jpg,rose
C:\Users\nikku\Desktop\3labpy\dataset2\rose_0077.jpg,dataset2\rose_0077.jpg,rose
C:\Users\nikku\Desktop\3labpy\dataset2\rose_0078.jpg,dataset2\rose_0078.jpg,rose
C:\Users\nikku\Desktop\3labpy\dataset2\rose_0079.jpg,dataset2\rose_0079.jpg,rose
C:\Users\nikku\Desktop\3labpy\dataset2\rose_0080.jpg,dataset2\rose_0080.jpg,rose
C:\Users\nikku\Desktop\3labpy\dataset2\rose_0081.jpg,dataset2\rose_0081.jpg,rose
C:\Users\nikku\Desktop\3labpy\dataset2\rose_0082.jpg,dataset2\rose_0082.jpg,rose
C:\Users\nikku\Desktop\3labpy\dataset2\rose_0083.jpg,dataset2\rose_0083.jpg,rose
C:\Users\nikku\Desktop\3labpy\dataset2\rose_0084.jpg,dataset2\rose_0084.jpg,rose
C:\Users\nikku\Desktop\3labpy\dataset2\rose_0085.jpg,dataset2\rose_0085.jpg,rose
C:\Users\nikku\Desktop\3labpy\dataset2\rose_0086.jpg,dataset2\rose_0086.jpg,rose
C:\Users\nikku\Desktop\3labpy\dataset2\rose_0087.jpg,dataset2\rose_0087.jpg,rose
C:\Users\nikku\Desktop\3labpy\dataset2\rose_0088.jpg,dataset2\rose_0088.jpg,rose
C:\Users\nikku\Desktop\3labpy\dataset2\rose_0089.jpg,dataset2\rose_0089.jpg,rose
